distance,soundIntensity
0.0,411.54
0.0,364.76
0.0,418.74
0.0,434.14
0.0,468.08
0.0,364.76
0.0,411.54
0.0,418.74
0.0,471.54
0.0,492.53
0.0,399.23
0.0,461.9
0.0,449.84
0.0,471.67
0.0,399.01
0.0,423.11
0.0,470.85
0.0,419.74
0.0,480.46
0.0,471.67
0.0,406.48
0.0,423.11
0.0,419.74
0.0,480.46
0.0,470.79
0.0,460.14
0.0,406.48
0.0,439.97
0.0,449.15
0.0,431.1
0.0,409.52
0.0,460.02
0.0,404.74
0.0,452.77
0.0,445.71
0.0,388.22
0.0,440.52
0.0,410.5
0.0,445.75
0.0,484.07
0.0,412.17
0.0,418.07
0.0,415.17
0.0,465.11
0.0040514,484.07
0.00051175,469.54
0.0028573,441.39
0.0037955,633.7
0.0038381,465.11
0.0040514,630.85
0.0028573,590.31
0.0026866999999999998,469.54
0.0052028,633.7
0.0052028,564.57
0.0073351,513.12
0.0069513000000000005,590.31
0.0026866999999999998,441.15
0.0052028,459.47
0.0052028,533.89
0.0073351,522.77
0.006695399999999999,434.73
0.0069513000000000005,548.1
0.007718899999999999,432.33
0.010576,483.32
0.0069513000000000005,466.23
0.0073778,434.73
0.0076763000000000005,598.55
0.007718899999999999,535.67
0.0076763000000000005,598.55
0.011812999999999999,482.04
0.009893899999999999,563.25
0.0073778,528.65
0.007718899999999999,459.67
0.011344,429.45
0.009893899999999999,535.54
0.011812999999999999,482.04
0.010789,487.62
0.013178,459.67
0.011344,475.65
0.011812999999999999,474.32
0.014072999999999999,479.77
0.012111,458.85
0.013178,473.98
0.011344,470.11
0.012111,465.06
0.014072999999999999,479.77
0.015309999999999999,462.69
0.013178,466.63
0.014713,428.64
0.015309999999999999,446.21
0.014072999999999999,442.06
0.012111,465.06
0.016888,464.86
0.014713,451.91
0.019191,439.0
0.015522999999999999,443.95
0.017698,437.5
0.018338,434.45
0.020427,494.8
0.017698,415.98
0.016803,410.4
0.018423,450.58
0.018338,447.19
0.020427,494.8
0.021877,439.2
0.018423,450.58
0.016803,428.64
0.022304,447.19
0.018423,422.51
0.024266,464.62
0.020853999999999998,417.99
0.021877,439.2
0.022304,403.46
0.022304,448.62
0.024266,460.77
0.022091,417.99
0.026185000000000003,405.23
0.023583,453.85
0.024266,442.0
0.022304,440.4
0.026185000000000003,414.8
0.022091,401.16
0.027379,424.8
0.026226999999999997,427.24
0.026185000000000003,389.11
0.026099,407.1
0.028359,472.53
0.027379,483.23
0.029767000000000002,472.53
0.026226999999999997,427.24
0.030449,394.41
0.026099,440.93
0.028658,483.23
0.030151,420.32
0.030449,394.43
0.029767000000000002,409.98
0.027549,411.82
0.032496,429.38
0.03369,417.38
0.030151,401.13
0.034543,394.43
0.031856999999999996,411.82
0.032496,428.69
0.030151,462.4
0.034543,405.13
0.031856999999999996,437.75
0.034969,441.9
0.032496,405.94
0.033946,424.19
0.034969,476.75
0.034543,440.26
0.031856999999999996,401.27
0.036377,427.48
0.039021,439.34
0.038508999999999995,436.26
0.035823,386.29
0.033946,424.19
0.037656,413.42
0.037699,453.96
0.039021,439.34
0.035823,418.12
0.038508999999999995,382.8
0.037656,413.42
0.037699,436.74
0.040428,456.99
0.042475,382.8
0.040001999999999996,413.03
0.041623,410.89
0.037699,413.0
0.044308999999999994,449.45
0.040001999999999996,413.03
0.042475,381.58
0.041623,416.39
0.041408999999999994,468.54
0.041281,414.99
0.046399,410.08
0.044308999999999994,457.38
0.042945,420.91
0.041408999999999994,472.2
0.045631,437.78
0.046399,357.19
0.045247,408.35
0.046952999999999995,432.49
0.045247,472.2
0.047721,394.13
0.049554,437.78
0.045247,455.89
0.046952999999999995,402.03
0.046484,454.03
0.049554,448.52
0.047721,399.81
0.045247,430.98
0.048275,412.56
0.046484,456.76
0.050876,399.52
0.049341,430.98
0.0519,399.81
0.052369000000000006,382.25
0.050876,431.48
0.050535000000000004,419.5
0.0519,371.14
